"Gene"
"ILMN_1700419|HSPC171"
"ILMN_1814579|LOC651711"
"ILMN_1709607|FLJ44881"
"ILMN_1655382|DCLRE1B"
"ILMN_1790315|FLJ21062"
"ILMN_1901867|"
"ILMN_1880084|"
"ILMN_1835074|"
"ILMN_1691223|ZNF566"
"ILMN_1912054|"
"ILMN_1891442|"
"ILMN_1794599|SNRPD3"
"ILMN_1882310|"
"ILMN_1754669|RNF40"
"ILMN_1743111|LOC389396"
"ILMN_1816664|"
"ILMN_1831185|"
"ILMN_1734630|ALPK3"
"ILMN_1720771|STX11"
"ILMN_1876662|"
"ILMN_1843384|"
"ILMN_1818125|"
"ILMN_1897348|"
"ILMN_1881215|"
"ILMN_1821014|"
"ILMN_1836375|"
"ILMN_1827424|"
"ILMN_1900457|"
"ILMN_1852458|"
"ILMN_1681154|ZBTB39"
"ILMN_1693039|ZFPL1"
"ILMN_1844370|"
"ILMN_1725686|OR52M1"
"ILMN_1912417|"
"ILMN_1696087|PHB2"
"ILMN_1683163|LOC653125"
"ILMN_1681438|SMARCD1"
"ILMN_1733846|XKR9"
"ILMN_1916106|"
"ILMN_1739236|ZNF668"
"ILMN_1708625|LOC647229"
"ILMN_1862144|"
"ILMN_1651609|SPRED3"
"ILMN_1852585|"
"ILMN_1776527|LOC644122"
"ILMN_1857528|"
"ILMN_1863390|"
"ILMN_1820472|"
"ILMN_1732267|FLJ46154"
"ILMN_1719948|LOC652235"
"ILMN_1668473|LOC402716"
"ILMN_1772113|U2AF1"
"ILMN_1913795|"
"ILMN_1869320|"
"ILMN_1845600|"
"ILMN_1890155|"
"ILMN_1758983|OTOP1"
"ILMN_1850383|"
"ILMN_1915061|"
"ILMN_1696698|SUHW3"
"ILMN_1821945|"
"ILMN_1815043|MRPS2"
"ILMN_1794372|GHRH"
"ILMN_1839701|"
"ILMN_1821835|"
"ILMN_1856240|"
"ILMN_1890948|"
"ILMN_1678191|GDF10"
"ILMN_1762037|TEX261"
"ILMN_1880505|"
"ILMN_1860795|"
"ILMN_1724247|LOC130678"
"ILMN_1670606|GABRG1"
"ILMN_1826974|"
"ILMN_1866141|"
"ILMN_1822932|"
"ILMN_1736796|RB1CC1"
"ILMN_1743296|LCE5A"
"ILMN_1901908|"
"ILMN_1706369|LOC650256"
"ILMN_1812463|PON3"
"ILMN_1789691|XKR7"
"ILMN_1794230|SCAND1"
"ILMN_1700109|PTOV1"
"ILMN_1721449|CHX10"
"ILMN_1701781|LOC643844"
"ILMN_1652206|LOC642628"
"ILMN_1905117|"
"ILMN_1762711|KRTAP10-4"
"ILMN_1694057|EIF3S12"
"ILMN_1886918|"
"ILMN_1810392|ZNHIT2"
"ILMN_1768844|LOC650407"
"ILMN_1859993|"
"ILMN_1855116|"
"ILMN_1839804|"
"ILMN_1849298|"
"ILMN_1785218|MTCH2"
"ILMN_1692927|NTN1"
"ILMN_1753524|HIST1H2AB"
"ILMN_1765607|SLC6A2"
"ILMN_1873074|"
"ILMN_1815255|LOC91664"
"ILMN_1864165|"
"ILMN_1843469|"
"ILMN_1718792|XCL1"
"ILMN_1898322|"
"ILMN_1894250|"
"ILMN_1784447|PLCE1"
"ILMN_1653228|C3orf22"
"ILMN_1666881|LOC440422"
"ILMN_1877756|"
"ILMN_1785852|OBFC2A"
"ILMN_1868476|"
"ILMN_1676693|LOC653636"
"ILMN_1652578|TSHB"
"ILMN_1701464|ZNF776"
"ILMN_1754547|R3HDM1"
"ILMN_1732538|LBP"
"ILMN_1891623|"
"ILMN_1808462|LOC652354"
"ILMN_1879252|"
"ILMN_1843756|"
"ILMN_1667104|LOC401442"
"ILMN_1666140|PRY2"
"ILMN_1782004|BAPX1"
"ILMN_1774208|B3GAT2"
"ILMN_1746349|TSPAN19"
"ILMN_1774600|C10orf28"
"ILMN_1826698|"
"ILMN_1789609|LOC139046"
"ILMN_1763500|GPR82"
"ILMN_1690160|SCN5A"
"ILMN_1680683|BCR"
"ILMN_1796465|LOC646383"
"ILMN_1681124|C19orf48"
"ILMN_1785818|RXFP2"
"ILMN_1748779|SLC4A10"
"ILMN_1702613|FLJ43987"
"ILMN_1689635|FSCN3"
"ILMN_1677953|OGFOD1"
"ILMN_1891417|"
"ILMN_1899726|"
"ILMN_1721008|DUT"
