geneName	GSM340547	GSM340548	GSM340549	GSM340550	GSM340551	GSM340552	GSM340553	GSM340554	GSM340555	GSM340556	GSM340557	GSM340558	GSM340559	GSM340560	GSM340561	GSM340562	GSM340563	GSM340564	GSM340565	GSM340566	GSM340567	GSM340568	GSM340569	GSM340570	GSM340571	GSM340572	GSM340573	GSM340574	GSM340575	GSM340576	GSM340577	GSM340578	GSM340579	GSM340580	GSM340581	GSM340582	GSM340583	GSM340584	GSM340585	GSM340586	GSM340587	GSM340588	GSM340589	GSM340590	GSM340591	GSM340592	GSM340593	GSM340594	GSM340595	GSM340596	GSM340597	GSM340598	GSM340599	GSM340600	GSM340601	GSM340602	GSM340603	GSM340604
ALOX15	153.277274191223	155.416945202566	149.085899067962	162.016844028196	155.416945202566	165.421162321599	160.897711938794	140.069593761375	152.218510720348	160.897711938794	148.056087539877	156.497955544585	135.298309191857	151.16706066298	177.294011918198	160.897711938794	188.706459813261	163.143760296866	153.277274191223	156.497955544585	152.218510720348	151.16706066298	160.897711938794	153.277274191223	170.071784204353	163.143760296866	148.056087539877	148.056087539877	147.03338943962	150.122873501681	151.16706066298	153.277274191223	149.085899067962	156.497955544585	176.069352721887	146.017755631158	173.645353913302	159.786310259406	153.277274191223	151.16706066298	149.085899067962	149.085899067962	184.82293702688	141.043854832206	153.277274191223	144.007486040168	156.497955544585	158.68258559219	151.16706066298	155.416945202566	156.497955544585	157.586484908149	149.085899067962	155.416945202566	145.009137317862	166.571757496567	138.141214272567	149.085899067962
ALOX5	4451.26599690673	1910.85156666738	2721.14854726966	3640.69962205827	390.722357493903	2817.1096435502	3565.77510726093	2385.3743850874	5220.6003294997	3743.05362013962	4705.06846206785	4211.15423398325	2740.07563220196	1722.15585843961	5256.91247641765	3666.02269052097	3104.18752821329	5077.84273895009	6165.49067739573	5914.33398486014	2503.96728871335	6122.90252240871	4705.06846206785	5556.65132522566	3304.00464577383	5792.6187514802	968.76303024701	4672.56818019706	1478.58349621504	2646.73859714558	3350.12683185267	3420.5201179786	1200.98298801344	3420.5201179786	6038.60671402435	3848.28518078059	6295.0407425557	2469.49443111068	5007.93457742671	5113.161928301	4211.15423398325	2019.8045788024	2019.8045788024	1016.92671532752	3875.05212098804	1458.2274002914	5184.53900890227	4240.44512805428	5832.9096011656	2062.24496651616	5712.87005737126	4904.87277411913	3956.47520327617	4011.70553891605	3258.51743746015	3795.30470150296	3258.51743746015	1686.71440336399
AMPD1	126.23778617515	97.6805893734758	174.853152864563	123.63985010238	128.89031040726	132.513910251696	118.603271921967	261.379104181041	177.294011918198	147.03338943962	324.033688056392	357.054378585704	167.73035569387	129.786813413124	136.23938335403	225.971967050408	181.019335983756	172.445897838808	145.009137317862	155.416945202566	123.63985010238	181.019335983756	131.598569811977	183.546271746026	215.269482304951	135.298309191857	233.940851258727	224.411064656905	140.069593761375	117.784019279984	196.720023204866	494.559400409521	153.277274191223	147.03338943962	136.23938335403	272.47876670806	144.007486040168	124.499833268773	167.73035569387	181.019335983756	166.571757496567	207.936613467196	137.187003204645	121.095378780876	188.706459813261	135.298309191857	176.069352721887	216.766799964807	212.305803728497	114.56320907878	176.069352721887	315.172969816299	126.23778617515	272.47876670806	247.279700204761	179.768944094464	145.009137317862	138.141214272567
ANGPT4	132.513910251696	131.598569811977	118.603271921967	126.23778617515	114.56320907878	116.162451880597	125.365798091127	128	124.499833268773	120.258911899394	128.89031040726	129.786813413124	115.360059214186	127.115839415941	128	126.23778617515	113.771863189321	121.937663749624	120.258911899394	126.23778617515	125.365798091127	128	123.63985010238	117.784019279984	127.115839415941	127.115839415941	125.365798091127	120.258911899394	121.095378780876	119.428222916711	120.258911899394	106.891253686831	132.513910251696	128.89031040726	125.365798091127	126.23778617515	148.056087539877	122.785807273634	112.985983525204	123.63985010238	127.115839415941	127.115839415941	115.360059214186	135.298309191857	136.23938335403	132.513910251696	128.89031040726	127.115839415941	119.428222916711	120.258911899394	145.009137317862	118.603271921967	101.82866992063	125.365798091127	134.363735503753	110.660765607407	122.785807273634	134.363735503753
ANKRD55	112.205532328452	131.598569811977	116.162451880597	145.009137317862	139.102062403335	142.024892424684	128	166.571757496567	129.786813413124	130.689552090521	163.143760296866	152.218510720348	135.298309191857	162.016844028196	157.586484908149	152.218510720348	144.007486040168	132.513910251696	143.012753673244	142.024892424684	147.03338943962	130.689552090521	138.141214272567	172.445897838808	292.035511262316	138.141214272567	164.278514888052	162.016844028196	116.970425629363	143.012753673244	143.012753673244	171.254727012622	149.085899067962	143.012753673244	147.03338943962	218.274532292597	135.298309191857	135.298309191857	132.513910251696	143.012753673244	121.937663749624	147.03338943962	133.435617387664	155.416945202566	158.68258559219	144.007486040168	140.069593761375	148.056087539877	119.428222916711	138.141214272567	153.277274191223	141.043854832206	143.012753673244	172.445897838808	136.23938335403	158.68258559219	121.937663749624	145.009137317862
APOBEC3A	196.720023204866	157.586484908149	126.23778617515	648.067376112783	132.513910251696	131.598569811977	154.343401944417	143.012753673244	148.056087539877	207.936613467196	128	415.873226934392	227.543726378642	1097.49602563716	233.940851258727	98.3600116024328	130.689552090521	149.085899067962	128	125.365798091127	129.786813413124	118.603271921967	132.513910251696	132.513910251696	112.205532328452	127.115839415941	121.937663749624	170.071784204353	131.598569811977	122.785807273634	202.250575837025	162.016844028196	237.206543843935	137.187003204645	153.277274191223	154.343401944417	781.444714987806	491.143229094535	188.706459813261	617.373607777669	128	106.152901864249	116.162451880597	237.206543843935	151.16706066298	292.035511262316	154.343401944417	116.970425629363	134.363735503753	121.937663749624	127.115839415941	183.546271746026	140.069593761375	149.085899067962	119.428222916711	163.143760296866	172.445897838808	139.102062403335
APOBEC3G	439.58550345613	288.014972080335	347.290707826604	344.891795677617	196.720023204866	385.343167337233	300.245747003361	388.023441026662	342.509454025245	491.143229094535	455.087452757284	608.874042881393	340.143568408707	243.875327499248	407.314679682518	613.109096764891	436.549064585194	407.314679682518	330.842324643198	719.075776377855	280.139187522749	643.590847755176	530.055641006786	734.185086984103	600.491494006722	530.055641006786	268.727471007505	377.412919626522	274.374006409291	229.126418157561	770.686334674466	544.95753341612	219.792751728065	337.794025157861	433.533599929614	377.412919626522	445.721888407616	357.054378585704	445.721888407616	306.554548382446	481.035647597574	209.382926990792	270.596618383713	242.190757561753	374.80593816208	222.860944203808	393.440046409731	359.537888188927	377.412919626522	436.549064585194	436.549064585194	319.572620518813	359.537888188927	424.611607456994	467.881702517453	515.56124162904	342.509454025245	242.190757561753
APOL3	634.730342368761	592.224350159507	661.684649286396	471.136077119936	266.871234775327	564.175419328825	374.80593816208	657.114059552207	661.684649286396	1314.22811910441	814.629359365037	861.077929219804	481.035647597574	224.411064656905	288.014972080335	867.067199859228	515.56124162904	448.82212931381	855.13002949465	849.223214913988	292.035511262316	689.783591355233	491.143229094535	792.353276693704	792.353276693704	512	461.440236856745	1251.98364435668	362.038671967512	261.379104181041	491.143229094535	734.185086984103	292.035511262316	448.82212931381	344.891795677617	572.051014692977	648.067376112783	203.657339841259	421.678600840998	362.038671967512	436.549064585194	238.856445833423	266.871234775327	477.712891666846	548.748012818582	362.038671967512	335.460711387741	491.143229094535	471.136077119936	442.643062429627	588.133557758482	413.000580721729	512	477.712891666846	592.224350159507	1067.48493910131	584.071022524633	359.537888188927
APOL6	164.278514888052	203.657339841259	183.546271746026	126.23778617515	178.527189292852	148.056087539877	172.445897838808	198.088319173426	242.190757561753	317.365171184381	233.940851258727	212.305803728497	174.853152864563	173.645353913302	174.853152864563	168.897012578931	205.073888662943	192.671583668617	218.274532292597	237.206543843935	147.03338943962	250.731596182253	202.250575837025	222.860944203808	238.856445833423	195.361178746952	174.853152864563	206.500290360864	155.416945202566	160.897711938794	282.087709664412	194.011720513331	145.009137317862	181.019335983756	182.278425036425	195.361178746952	335.460711387741	168.897012578931	194.011720513331	166.571757496567	182.278425036425	160.897711938794	168.897012578931	151.16706066298	215.269482304951	163.143760296866	209.382926990792	199.466132393088	203.657339841259	163.143760296866	199.466132393088	183.546271746026	182.278425036425	184.82293702688	182.278425036425	238.856445833423	190.019017040518	158.68258559219
AQP9	157.586484908149	126.23778617515	134.363735503753	1052.78855849581	140.069593761375	143.012753673244	380.038034081037	182.278425036425	179.768944094464	216.766799964807	166.571757496567	140.069593761375	515.56124162904	160.897711938794	194.011720513331	145.009137317862	128	159.786310259406	150.122873501681	160.897711938794	186.108482217	156.497955544585	153.277274191223	170.071784204353	157.586484908149	165.421162321599	259.573626826247	337.794025157861	154.343401944417	310.833890405132	568.099569698737	257.78062081452	335.460711387741	190.019017040518	203.657339841259	276.282428545133	206.500290360864	194.011720513331	147.03338943962	256	176.069352721887	256	250.731596182253	270.596618383713	145.009137317862	330.842324643198	176.069352721887	170.071784204353	143.012753673244	150.122873501681	132.513910251696	218.274532292597	136.23938335403	224.411064656905	153.277274191223	156.497955544585	172.445897838808	173.645353913302
