geneName	GSM340537	GSM340538	GSM340539	GSM340540	GSM340541	GSM340542	GSM340543	GSM340544	GSM340545	GSM340546
CD68	6208.37505642659	3615.55147280652	5220.6003294997	4482.22700036399	2556.5809641505	7033.36805529808	3956.47520327617	6208.37505642659	2683.68569110193	2469.49443111068
CD69	265.027820503393	192.671583668617	198.088319173426	160.897711938794	219.792751728065	294.066778879241	548.748012818582	196.720023204866	158.68258559219	268.727471007505
CD7	487.750654998496	613.109096764891	407.314679682518	349.706305729125	385.343167337233	359.537888188927	357.054378585704	344.891795677617	448.82212931381	401.707058123136
CD70	187.40296908104	177.294011918198	192.671583668617	194.011720513331	194.011720513331	584.071022524633	210.839300420499	176.069352721887	181.019335983756	178.527189292852
CD72	328.557029776103	257.78062081452	233.940851258727	238.856445833423	235.568038559968	879.171006912259	237.206543843935	352.138705443775	225.971967050408	250.731596182253
CD79A	268.727471007505	282.087709664412	265.027820503393	165.421162321599	212.305803728497	1200.98298801344	198.088319173426	145.009137317862	167.73035569387	165.421162321599
CD79B	181.019335983756	219.792751728065	182.278425036425	206.500290360864	209.382926990792	1002.92638472901	202.250575837025	202.250575837025	187.40296908104	194.011720513331
CD80	145.009137317862	178.527189292852	179.768944094464	133.435617387664	153.277274191223	174.853152864563	159.786310259406	148.056087539877	123.63985010238	157.586484908149
CD86	294.066778879241	245.571614547268	250.731596182253	224.411064656905	250.731596182253	218.274532292597	380.038034081037	512	213.782507373663	232.324903761193
CD8A	625.991822178339	1541.37266934893	792.353276693704	474.41308768787	613.109096764891	174.853152864563	487.750654998496	230.720118428372	765.362815301089	704.277410887549
CD8B	121.095378780876	128.89031040726	121.937663749624	128	121.937663749624	113.771863189321	121.095378780876	121.937663749624	134.363735503753	134.363735503753
CD96	427.565014747325	729.113700145701	652.575041187462	354.588023836397	433.533599929614	162.016844028196	304.437021440697	167.73035569387	760.076068162073	729.113700145701
CDA	157.586484908149	158.68258559219	128	158.68258559219	121.937663749624	227.543726378642	203.657339841259	221.321531214813	135.298309191857	145.009137317862
CDC25A	143.012753673244	129.786813413124	146.017755631158	171.254727012622	142.024892424684	131.598569811977	129.786813413124	135.298309191857	123.63985010238	135.298309191857
CDH12	164.278514888052	163.143760296866	138.141214272567	154.343401944417	195.361178746952	142.024892424684	143.012753673244	152.218510720348	398.932264786176	218.274532292597
CDK6	837.531707963168	776.046882053324	867.067199859228	739.291748107518	739.291748107518	564.175419328825	1038.29450730499	1418.35209534559	699.41261145825	760.076068162073
CEACAM3	124.499833268773	131.598569811977	137.187003204645	140.069593761375	135.298309191857	124.499833268773	143.012753673244	108.383399982403	141.043854832206	156.497955544585
CEACAM8	132.513910251696	122.785807273634	117.784019279984	136.23938335403	129.786813413124	164.278514888052	127.115839415941	130.689552090521	121.095378780876	115.360059214186
CFP	117.784019279984	182.278425036425	172.445897838808	152.218510720348	173.645353913302	227.543726378642	222.860944203808	157.586484908149	177.294011918198	183.546271746026
