geneName	GSM340612	GSM340613	GSM340614	GSM340618	GSM340620	GSM340623	GSM340628	GSM340630	GSM340633	GSM340634	GSM340636	GSM340648	GSM340653	GSM340654	GSM340660	GSM340665	GSM340672	GSM340673	GSM340674	GSM340677	GSM340678	GSM340684	GSM340693	GSM340694	GSM340696	GSM340697	GSM340700	GSM340701	GSM340702	GSM340704	GSM340705	GSM340706	GSM340709	GSM340712	GSM340714	GSM340715	GSM340718	GSM340720	GSM340721	GSM340723	GSM340725	GSM340727	GSM340728	GSM340729	GSM340731	GSM340732	GSM340733	GSM340745	GSM340746	GSM340747	GSM340757	GSM340758	GSM340759	GSM340760	GSM340761	GSM340762	GSM340763	GSM340764	GSM340765	GSM340766	GSM340767	GSM340769
SAMSN1	259.573626826247	198.088319173426	191.340703825272	206.500290360864	215.269482304951	194.011720513331	245.571614547268	224.411064656905	187.40296908104	238.856445833423	195.361178746952	218.274532292597	205.073888662943	195.361178746952	533.742469550654	212.305803728497	222.860944203808	319.572620518813	560.278375045499	252.4755723503	186.108482217	240.517823798787	225.971967050408	335.460711387741	572.051014692977	487.750654998496	250.731596182253	200.853529061568	232.324903761193	247.279700204761	657.114059552207	280.139187522749	225.971967050408	212.305803728497	340.143568408707	342.509454025245	272.47876670806	922.88047371349	235.568038559968	213.782507373663	200.853529061568	250.731596182253	357.054378585704	198.088319173426	286.025507346488	254.231678831881	652.575041187462	250.731596182253	749.611876324161	230.720118428372	146.017755631158	364.55685007285	263.197139623953	195.361178746952	694.581415653208	225.971967050408	464.649807522386	199.466132393088	200.853529061568	1089.91506683224	250.731596182253	630.345939632597
SCN9A	141.043854832206	116.970425629363	151.16706066298	247.279700204761	173.645353913302	556.408249613341	121.095378780876	238.856445833423	164.278514888052	150.122873501681	122.785807273634	266.871234775327	141.043854832206	132.513910251696	147.03338943962	130.689552090521	121.937663749624	237.206543843935	278.204124806671	124.499833268773	137.187003204645	167.73035569387	137.187003204645	333.143514993135	187.40296908104	224.411064656905	119.428222916711	515.56124162904	128.89031040726	205.073888662943	205.073888662943	106.152901864249	116.162451880597	114.56320907878	142.024892424684	109.896375864033	146.017755631158	128	113.771863189321	151.16706066298	115.360059214186	144.007486040168	130.689552090521	413.000580721729	117.784019279984	173.645353913302	192.671583668617	136.23938335403	385.343167337233	121.095378780876	184.82293702688	167.73035569387	284.049784849368	265.027820503393	186.108482217	174.853152864563	265.027820503393	215.269482304951	155.416945202566	218.274532292597	133.435617387664	225.971967050408
SEC31B	229.126418157561	163.143760296866	164.278514888052	192.671583668617	159.786310259406	186.108482217	168.897012578931	168.897012578931	254.231678831881	179.768944094464	159.786310259406	157.586484908149	146.017755631158	171.254727012622	354.588023836397	227.543726378642	176.069352721887	178.527189292852	222.860944203808	163.143760296866	173.645353913302	173.645353913302	174.853152864563	203.657339841259	157.586484908149	192.671583668617	160.897711938794	198.088319173426	171.254727012622	252.4755723503	326.287520593731	215.269482304951	133.435617387664	192.671583668617	230.720118428372	248.999666537545	230.720118428372	162.016844028196	164.278514888052	195.361178746952	157.586484908149	221.321531214813	172.445897838808	165.421162321599	163.143760296866	200.853529061568	200.853529061568	160.897711938794	186.108482217	261.379104181041	164.278514888052	202.250575837025	192.671583668617	154.343401944417	159.786310259406	163.143760296866	177.294011918198	212.305803728497	203.657339841259	191.340703825272	179.768944094464	192.671583668617
SELL	155.416945202566	132.513910251696	142.024892424684	137.187003204645	135.298309191857	1287.18169551035	216.766799964807	139.102062403335	304.437021440697	144.007486040168	266.871234775327	155.416945202566	359.537888188927	182.278425036425	172.445897838808	152.218510720348	145.009137317862	178.527189292852	165.421162321599	404.501151674049	187.40296908104	148.056087539877	133.435617387664	643.590847755176	177.294011918198	1722.15585843961	1332.57405997254	130.689552090521	206.500290360864	132.513910251696	630.345939632597	152.218510720348	136.23938335403	225.971967050408	140.069593761375	194.011720513331	159.786310259406	143.012753673244	257.78062081452	140.069593761375	148.056087539877	151.16706066298	182.278425036425	229.126418157561	134.363735503753	147.03338943962	242.190757561753	164.278514888052	270.596618383713	202.250575837025	639.145241037625	216.766799964807	176.069352721887	188.706459813261	263.197139623953	124.499833268773	195.361178746952	151.16706066298	167.73035569387	245.571614547268	154.343401944417	257.78062081452
SERGEF	1552.09376410665	855.13002949465	929.299615044772	797.864529572352	515.56124162904	962.071295195148	1251.98364435668	1176.26711551696	861.077929219804	786.880092819462	843.357201681995	1082.38647353485	544.95753341612	724.077343935025	2469.49443111068	770.686334674466	596.34359627185	1871.52681006981	1910.85156666738	1045.51641672417	1067.48493910131	1584.70655338741	670.921422775482	1052.78855849581	867.067199859228	948.82617537574	439.58550345613	1770.57224971851	704.277410887549	1360.57427363483	1398.8252229165	699.41261145825	504.9511447006	803.414116246273	2368.89740063803	1278.29048207525	584.071022524633	1408.5548217751	831.746453868785	861.077929219804	826.001161443457	1305.15008237492	1408.5548217751	568.099569698737	461.440236856745	1038.29450730499	891.443776815232	935.763405034906	1332.57405997254	1323.36929857279	648.067376112783	704.277410887549	1897.65235075148	962.071295195148	1024	955.425783333691	714.108757171408	522.758208362083	781.444714987806	749.611876324161	526.394279247906	699.41261145825
SH2D1A	238.856445833423	308.686803888835	190.019017040518	200.853529061568	202.250575837025	174.853152864563	268.727471007505	190.019017040518	187.40296908104	205.073888662943	382.681407650544	206.500290360864	207.936613467196	308.686803888835	191.340703825272	250.731596182253	300.245747003361	215.269482304951	272.47876670806	237.206543843935	242.190757561753	252.4755723503	364.55685007285	430.538964609902	308.686803888835	372.216964433999	209.382926990792	187.40296908104	256	176.069352721887	421.678600840998	263.197139623953	156.497955544585	210.839300420499	280.139187522749	504.9511447006	242.190757561753	167.73035569387	218.274532292597	233.940851258727	240.517823798787	247.279700204761	340.143568408707	181.019335983756	330.842324643198	359.537888188927	359.537888188927	367.092543492052	232.324903761193	245.571614547268	136.23938335403	242.190757561753	306.554548382446	259.573626826247	302.33412132596	216.766799964807	497.99933307509	237.206543843935	202.250575837025	786.880092819462	302.33412132596	464.649807522386
SIGLEC1	135.298309191857	117.784019279984	130.689552090521	127.115839415941	116.162451880597	130.689552090521	126.23778617515	112.205532328452	118.603271921967	121.095378780876	131.598569811977	112.985983525204	125.365798091127	135.298309191857	120.258911899394	123.63985010238	115.360059214186	129.786813413124	131.598569811977	126.23778617515	125.365798091127	142.024892424684	115.360059214186	154.343401944417	148.056087539877	144.007486040168	132.513910251696	114.56320907878	130.689552090521	125.365798091127	159.786310259406	142.024892424684	132.513910251696	142.024892424684	123.63985010238	117.784019279984	139.102062403335	121.095378780876	128	137.187003204645	139.102062403335	132.513910251696	131.598569811977	128.89031040726	138.141214272567	160.897711938794	157.586484908149	112.205532328452	140.069593761375	141.043854832206	116.162451880597	166.571757496567	150.122873501681	133.435617387664	136.23938335403	141.043854832206	137.187003204645	126.23778617515	123.63985010238	232.324903761193	123.63985010238	163.143760296866
SIRPG	149.085899067962	146.017755631158	132.513910251696	139.102062403335	130.689552090521	164.278514888052	173.645353913302	149.085899067962	141.043854832206	137.187003204645	190.019017040518	128.89031040726	205.073888662943	155.416945202566	125.365798091127	130.689552090521	142.024892424684	128.89031040726	136.23938335403	157.586484908149	140.069593761375	151.16706066298	150.122873501681	198.088319173426	164.278514888052	232.324903761193	154.343401944417	128.89031040726	136.23938335403	133.435617387664	178.527189292852	155.416945202566	147.03338943962	144.007486040168	128	259.573626826247	145.009137317862	139.102062403335	146.017755631158	174.853152864563	135.298309191857	143.012753673244	152.218510720348	139.102062403335	141.043854832206	188.706459813261	144.007486040168	202.250575837025	136.23938335403	130.689552090521	129.786813413124	125.365798091127	133.435617387664	138.141214272567	142.024892424684	141.043854832206	159.786310259406	151.16706066298	145.009137317862	235.568038559968	141.043854832206	168.897012578931
SIT1	349.706305729125	213.782507373663	196.720023204866	184.82293702688	212.305803728497	216.766799964807	227.543726378642	265.027820503393	213.782507373663	199.466132393088	222.860944203808	198.088319173426	164.278514888052	229.126418157561	410.147777325886	276.282428545133	354.588023836397	183.546271746026	367.092543492052	224.411064656905	245.571614547268	187.40296908104	248.999666537545	243.875327499248	225.971967050408	266.871234775327	199.466132393088	168.897012578931	270.596618383713	176.069352721887	270.596618383713	224.411064656905	187.40296908104	215.269482304951	243.875327499248	369.645874053759	560.278375045499	282.087709664412	308.686803888835	232.324903761193	302.33412132596	192.671583668617	230.720118428372	238.856445833423	357.054378585704	227.543726378642	266.871234775327	280.139187522749	367.092543492052	229.126418157561	129.786813413124	190.019017040518	342.509454025245	330.842324643198	248.999666537545	168.897012578931	156.497955544585	177.294011918198	192.671583668617	205.073888662943	288.014972080335	186.108482217
SKAP1	989.118800819041	675.588050315722	1128.35083865765	317.365171184381	439.58550345613	2836.70419069117	455.087452757284	3281.18221860709	1160.0730985429	867.067199859228	3565.77510726093	3061.45126120435	588.133557758482	814.629359365037	152.218510720348	364.55685007285	1168.14204504927	3795.30470150296	362.038671967512	1640.59110930355	2856.43502868563	621.667780810264	3691.52189485396	867.067199859228	501.463192364507	666.28702998627	2005.85276945803	265.027820503393	849.223214913988	300.245747003361	2503.96728871335	250.731596182253	739.291748107518	1160.0730985429	404.501151674049	776.046882053324	2225.63299845337	364.55685007285	749.611876324161	433.533599929614	1016.92671532752	837.531707963168	401.707058123136	2469.49443111068	377.412919626522	2091.03283344833	1278.29048207525	504.9511447006	266.871234775327	312.995911089169	719.075776377855	2194.99205127433	1192.6871925437	3104.18752821329	2241.113500182	1845.76094742698	739.291748107518	541.193236767427	1060.11128201357	1937.52606049402	792.353276693704	1209.33648530384
SLAMF1	163.143760296866	125.365798091127	143.012753673244	124.499833268773	122.785807273634	139.102062403335	140.069593761375	129.786813413124	116.970425629363	141.043854832206	153.277274191223	136.23938335403	127.115839415941	232.324903761193	138.141214272567	138.141214272567	153.277274191223	122.785807273634	142.024892424684	151.16706066298	129.786813413124	155.416945202566	163.143760296866	205.073888662943	192.671583668617	219.792751728065	152.218510720348	128	191.340703825272	137.187003204645	369.645874053759	137.187003204645	153.277274191223	133.435617387664	224.411064656905	304.437021440697	164.278514888052	123.63985010238	126.23778617515	151.16706066298	136.23938335403	120.258911899394	147.03338943962	115.360059214186	148.056087539877	184.82293702688	194.011720513331	154.343401944417	160.897711938794	140.069593761375	128.89031040726	151.16706066298	137.187003204645	130.689552090521	147.03338943962	153.277274191223	213.782507373663	142.024892424684	144.007486040168	359.537888188927	132.513910251696	319.572620518813
SLAMF8	199.466132393088	136.23938335403	113.771863189321	164.278514888052	111.430472101904	212.305803728497	203.657339841259	103.250145180432	116.970425629363	153.277274191223	288.014972080335	131.598569811977	164.278514888052	268.727471007505	123.63985010238	126.23778617515	173.645353913302	109.137266146298	134.363735503753	229.126418157561	159.786310259406	210.839300420499	335.460711387741	481.035647597574	407.314679682518	176.069352721887	130.689552090521	124.499833268773	167.73035569387	127.115839415941	477.712891666846	359.537888188927	202.250575837025	146.017755631158	144.007486040168	210.839300420499	126.23778617515	160.897711938794	124.499833268773	160.897711938794	248.999666537545	221.321531214813	263.197139623953	101.125287918512	140.069593761375	497.99933307509	148.056087539877	294.066778879241	163.143760296866	116.162451880597	125.365798091127	276.282428545133	125.365798091127	138.141214272567	367.092543492052	136.23938335403	302.33412132596	148.056087539877	119.428222916711	1991.99733230036	114.56320907878	352.138705443775
SLC12A1	146.017755631158	141.043854832206	149.085899067962	138.141214272567	144.007486040168	132.513910251696	137.187003204645	157.586484908149	134.363735503753	149.085899067962	127.115839415941	145.009137317862	135.298309191857	153.277274191223	177.294011918198	141.043854832206	134.363735503753	133.435617387664	148.056087539877	122.785807273634	142.024892424684	157.586484908149	158.68258559219	144.007486040168	142.024892424684	133.435617387664	143.012753673244	144.007486040168	136.23938335403	145.009137317862	154.343401944417	141.043854832206	140.069593761375	128.89031040726	157.586484908149	142.024892424684	148.056087539877	184.82293702688	137.187003204645	140.069593761375	130.689552090521	139.102062403335	150.122873501681	148.056087539877	139.102062403335	141.043854832206	131.598569811977	158.68258559219	164.278514888052	149.085899067962	167.73035569387	136.23938335403	147.03338943962	134.363735503753	138.141214272567	130.689552090521	129.786813413124	153.277274191223	141.043854832206	141.043854832206	131.598569811977	127.115839415941
SLC12A8	300.245747003361	141.043854832206	272.47876670806	369.645874053759	294.066778879241	398.932264786176	335.460711387741	149.085899067962	315.172969816299	398.932264786176	224.411064656905	173.645353913302	308.686803888835	280.139187522749	157.586484908149	168.897012578931	494.559400409521	162.016844028196	190.019017040518	317.365171184381	230.720118428372	213.782507373663	278.204124806671	284.049784849368	304.437021440697	526.394279247906	374.80593816208	548.748012818582	237.206543843935	369.645874053759	247.279700204761	328.557029776103	315.172969816299	461.440236856745	173.645353913302	152.218510720348	177.294011918198	159.786310259406	548.748012818582	512	621.667780810264	176.069352721887	556.408249613341	442.643062429627	487.750654998496	268.727471007505	202.250575837025	367.092543492052	157.586484908149	393.440046409731	374.80593816208	294.066778879241	174.853152864563	247.279700204761	729.113700145701	176.069352721887	288.014972080335	280.139187522749	159.786310259406	1530.72563060218	308.686803888835	272.47876670806
SLC15A3	1060.11128201357	2418.67297060768	433.533599929614	243.875327499248	442.643062429627	572.051014692977	1833.01134526049	556.408249613341	458.252836315122	344.891795677617	2683.68569110193	709.176047672794	572.051014692977	1618.0046066962	797.864529572352	377.412919626522	1184.44870031901	1217.74808576279	879.171006912259	666.28702998627	1351.17610063144	1418.35209534559	1243.33556162053	1663.49290773757	2048	1152.05988832134	308.686803888835	245.571614547268	556.408249613341	213.782507373663	2385.3743850874	552.564857090267	831.746453868785	364.55685007285	891.443776815232	501.463192364507	464.649807522386	1323.36929857279	592.224350159507	321.795423877588	792.353276693704	608.874042881393	903.887868201631	504.9511447006	315.172969816299	3875.05212098804	666.28702998627	1478.58349621504	1562.88942997561	451.943934100815	178.527189292852	2385.3743850874	989.118800819041	1184.44870031901	1074.90988403002	393.440046409731	634.730342368761	421.678600840998	377.412919626522	2936.74034793641	634.730342368761	1144.10202938595
SLC2A6	576.02994416067	1332.57405997254	1168.14204504927	630.345939632597	1807.77573640326	1031.12248325808	1052.78855849581	929.299615044772	617.373607777669	526.394279247906	1820.34981102914	1629.25871873007	989.118800819041	1438.15155275571	372.216964433999	2435.49617152557	410.147777325886	572.051014692977	225.971967050408	1448.15468787005	1287.18169551035	504.9511447006	1584.70655338741	1089.91506683224	519.147253652495	1520.15213632415	407.314679682518	138.141214272567	519.147253652495	162.016844028196	1606.82823249255	382.681407650544	608.874042881393	1226.21819352978	401.707058123136	1991.99733230036	675.588050315722	451.943934100815	1937.52606049402	955.425783333691	1269.46068473752	430.538964609902	849.223214913988	2610.30016474985	157.586484908149	709.176047672794	1060.11128201357	248.999666537545	304.437021440697	935.763405034906	709.176047672794	504.9511447006	364.55685007285	1663.49290773757	560.278375045499	843.357201681995	272.47876670806	424.611607456994	552.564857090267	1226.21819352978	377.412919626522	515.56124162904
SLC7A10	123.63985010238	149.085899067962	256	157.586484908149	203.657339841259	148.056087539877	171.254727012622	127.115839415941	165.421162321599	166.571757496567	165.421162321599	142.024892424684	192.671583668617	145.009137317862	152.218510720348	147.03338943962	144.007486040168	166.571757496567	139.102062403335	163.143760296866	158.68258559219	150.122873501681	186.108482217	143.012753673244	144.007486040168	200.853529061568	157.586484908149	196.720023204866	156.497955544585	177.294011918198	143.012753673244	136.23938335403	224.411064656905	174.853152864563	116.162451880597	146.017755631158	146.017755631158	124.499833268773	564.175419328825	230.720118428372	200.853529061568	127.115839415941	139.102062403335	153.277274191223	146.017755631158	170.071784204353	167.73035569387	106.152901864249	292.035511262316	157.586484908149	317.365171184381	150.122873501681	141.043854832206	143.012753673244	142.024892424684	177.294011918198	181.019335983756	167.73035569387	143.012753673244	186.108482217	159.786310259406	162.016844028196
SLCO5A1	116.970425629363	139.102062403335	153.277274191223	155.416945202566	155.416945202566	136.23938335403	173.645353913302	129.786813413124	148.056087539877	321.795423877588	134.363735503753	144.007486040168	282.087709664412	170.071784204353	150.122873501681	130.689552090521	147.03338943962	152.218510720348	135.298309191857	224.411064656905	139.102062403335	132.513910251696	200.853529061568	278.204124806671	140.069593761375	188.706459813261	306.554548382446	359.537888188927	158.68258559219	484.381515123505	157.586484908149	154.343401944417	140.069593761375	150.122873501681	140.069593761375	159.786310259406	143.012753673244	176.069352721887	154.343401944417	126.23778617515	160.897711938794	130.689552090521	181.019335983756	144.007486040168	128	158.68258559219	150.122873501681	165.421162321599	140.069593761375	141.043854832206	195.361178746952	159.786310259406	150.122873501681	147.03338943962	140.069593761375	170.071784204353	230.720118428372	166.571757496567	122.785807273634	151.16706066298	144.007486040168	170.071784204353
SMPD3	177.294011918198	218.274532292597	166.571757496567	167.73035569387	190.019017040518	190.019017040518	164.278514888052	166.571757496567	159.786310259406	174.853152864563	160.897711938794	166.571757496567	162.016844028196	207.936613467196	337.794025157861	172.445897838808	184.82293702688	280.139187522749	190.019017040518	188.706459813261	166.571757496567	186.108482217	171.254727012622	162.016844028196	181.019335983756	172.445897838808	166.571757496567	159.786310259406	156.497955544585	165.421162321599	186.108482217	196.720023204866	178.527189292852	144.007486040168	182.278425036425	174.853152864563	177.294011918198	508.463357663762	167.73035569387	168.897012578931	178.527189292852	177.294011918198	165.421162321599	162.016844028196	178.527189292852	157.586484908149	157.586484908149	173.645353913302	163.143760296866	154.343401944417	142.024892424684	160.897711938794	171.254727012622	209.382926990792	205.073888662943	172.445897838808	188.706459813261	170.071784204353	171.254727012622	144.007486040168	191.340703825272	168.897012578931
